key,hand,row,layout
k,Right,2,Qwerty
l,Right,2,Qwerty
left_ctrl,Left,0,Qwerty
left_shift,Left,1,Qwerty
m,Right,1,Qwerty
n,Right,1,Qwerty
o,Right,3,Qwerty
p,Right,3,Qwerty
q,Left,3,Qwerty
r,Left,3,Qwerty
return,Right,2,Qwerty
right_ctrl,Right,0,Qwerty
right_shift,Right,1,Qwerty
s,Left,2,Qwerty
t,Left,3,Qwerty
tab,Left,3,Qwerty
u,Right,3,Qwerty
v,Left,1,Qwerty
w,Left,3,Qwerty
x,Left,1,Qwerty
y,Right,3,Qwerty
z,Left,1,Qwerty
',Right,2,Qwerty
0,Right,4,Workman
1,Left,4,Workman
3,Left,4,Workman
4,Left,4,Workman
5,Left,4,Workman
6,Right,4,Workman
7,Right,4,Workman
8,Right,4,Workman
9,Right,4,Workman
_,Right,4,Workman
-,Right,4,Workman
",",Right,1,Workman
;,Right,3,Workman
:,Right,3,Workman
!,Left,4,Workman
?,Right,1,Workman
.,Right,1,Workman
"""",Right,2,Workman
(,Right,4,Workman
),Right,4,Workman
[,Right,3,Workman
],Right,3,Workman
{,Right,3,Workman
},Right,3,Workman
@,Left,4,Workman
*,Right,4,Workman
/,Right,1,Workman
\,Right,3,Workman
&,Right,4,Workman
#,Left,4,Workman
%,Left,4,Workman
`,Left,4,Workman
^,Right,4,Workman
+,Right,4,Workman
<,Right,1,Workman
=,Right,4,Workman
>,Right,1,Workman
|,Right,3,Workman
~,Left,4,Workman
$,Left,4,Workman
a,Left,2,Workman
b,Left,3,Workman
c,Left,1,Workman
caps,Left,2,Workman
d,Left,3,Workman
delete,Right,4,Workman
e,Right,2,Workman
f,Right,3,Workman
g,Left,2,Workman
h,Left,2,Workman
i,Right,2,Workman
j,Right,3,Workman
k,Right,1,Workman
l,Right,2,Workman
left_ctrl,Left,0,Workman
left_shift,Left,1,Workman
m,Left,1,Workman
n,Right,2,Workman
o,Right,2,Workman
p,Right,3,Workman
q,Left,3,Workman
r,Left,3,Workman
return,Right,2,Workman
right_ctrl,Right,0,Workman
right_shift,Right,1,Workman
s,Left,2,Workman
t,Left,2,Workman
tab,Left,3,Workman
u,Right,3,Workman
v,Left,1,Workman
w,Left,3,Workman
x,Left,1,Workman
y,Right,2,Workman
z,Left,1,Workman
',Right,2,Workman
0,Right,4,Norman
1,Left,4,Norman
3,Left,4,Norman
4,Left,4,Norman
5,Left,4,Norman
6,Right,4,Norman
7,Right,4,Norman
8,Right,4,Norman
9,Right,4,Norman
_,Right,4,Norman
-,Right,4,Norman
",",Right,1,Norman
;,Right,3,Norman
:,Right,3,Norman
!,Left,4,Norman
?,Right,1,Norman
.,Right,1,Norman
"""",Right,2,Norman
(,Right,4,Norman
),Right,4,Norman
[,Right,3,Norman
],Right,3,Norman
{,Right,3,Norman
},Right,3,Norman
@,Left,4,Norman
*,Right,4,Norman
/,Right,1,Norman
\,Right,3,Norman
&,Right,4,Norman
#,Left,4,Norman
%,Left,4,Norman
`,Left,4,Norman
^,Right,4,Norman
+,Right,4,Norman
<,Right,1,Norman
=,Right,4,Norman
>,Right,1,Norman
|,Right,3,Norman
~,Left,4,Norman
$,Left,4,Norman
a,Left,2,Norman
b,Left,1,Norman
c,Left,1,Norman
caps,Left,2,Norman
d,Left,3,Norman
delete,Right,4,Norman
e,Left,2,Norman
f,Left,3,Norman
g,Left,2,Norman
h,Right,2,Norman
i,Right,2,Norman
j,Right,3,Norman
k,Left,3,Norman
l,Right,3,Norman
left_ctrl,Left,0,Norman
left_shift,Left,1,Norman
m,Right,1,Norman
n,Right,2,Norman
o,Right,2,Norman
p,Right,1,Norman
q,Left,3,Norman
r,Right,3,Norman
return,Right,2,Norman
right_ctrl,Right,0,Norman
right_shift,Right,1,Norman
s,Left,2,Norman
t,Left,2,Norman
tab,Left,3,Norman
u,Right,3,Norman
v,Left,1,Norman
w,Left,3,Norman
x,Left,1,Norman
y,Right,2,Norman
z,Left,1,Norman
',Right,2,Norman
